username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
ggty,Giovanni G Torelly,https://twitter.com/ggty/status/905506768280834048,"""Tradição Católica",2017-09-06 12:03:00,,,0,,0,,0,,
cruzeiro_org,Cruzeiro.Org,https://twitter.com/Cruzeiro_Org/status/898712600560582657,"""Gabriel BrazÃ£o e Edu sÃ£o convocados para SeleÃ§Ã£o Brasileira Sub17 https",2017-08-18 18:05:00,,,0,,0,,0,,
ladisleite,Ladislau Leite,https://twitter.com/Ladisleite/status/884783322202873858,"""Tite confirma que CÃ¡ssio estÃ¡ perto de ser convocado para a SeleÃ§Ã£o Brasileira https",2017-07-11 07:35:00,,,0,,0,,0,,
ladisleite,Ladislau Leite,https://twitter.com/Ladisleite/status/898191092750974976,"""Goleiro do Corinthians Ã© convocado para SeleÃ§Ã£o Brasileira Sub-15 pela terceira vez https",2017-08-17 07:33:00,,,0,,0,,0,,
_budgie,alison evans,https://twitter.com/_budgie/status/1277130519679954944,"""I redyed my hair (no bleach tho cbf) for the first time in a long time, feels nice… """,2020-06-27 23:43:00,59,,7,,0,,0,,https://pbs.twimg.com/media/EblHb-OVcAEtQ_w.jpg
simonekereama,,https://twitter.com/simonekereama/status/1277113008703983618,"""got a little bored but cbf w the rest… """,2020-06-27 22:34:00,15,,3,,0,,0,,https://pbs.twimg.com/media/Ebk3gEhU0AEs0qk.jpg | https://pbs.twimg.com/media/Ebk3ggRUwAAyGRL.jpg
dek1an,HoodFaveDek,https://twitter.com/dek1an/status/1277175849695932416,"""New name cbf thinking of a better one if u don’t know what it means don’t ask… """,2020-06-28 02:43:00,4,,3,,0,,0,,https://pbs.twimg.com/media/EblwqJsVAAE2qTp.jpg
footballshirt,FootballShirtCulture.com,https://twitter.com/footballshirt/status/10648690577,"""Galeria dos Uniformes da SeleÃ§Ã£o Brasileira",2010-03-17 18:16:00,,,0,,0,,0,,
ahaportugal,Augusto Portugal,https://twitter.com/ahaportugal/status/1075313649,"""""DAS PREDAS""",2008-12-23 16:02:00,,,0,,0,,0,,
ahaportugal,Augusto Portugal,https://twitter.com/ahaportugal/status/1074030454,"""Blog de Escalada",2008-12-23 02:02:00,,,0,,0,,0,,
mengaoonline,Flamengo,https://twitter.com/mengaoonline/status/13424991371,"""Adriano pede total atenÃ§Ã£o do Flamengo com amigo Ronaldo",2010-05-05 06:02:00,,1,0,,0,,0,,
ahaportugal,Augusto Portugal,https://twitter.com/ahaportugal/status/1132302034,"""Janine Cardoso",2009-01-19 20:03:00,,,0,,0,,0,,
ahaportugal,Augusto Portugal,https://twitter.com/ahaportugal/status/1073475178,"""Ecos da Montanha...",2008-12-22 18:02:00,,,0,,0,,0,,
marciomtc,Mundo Notícias,https://twitter.com/marciomtc/status/3717653614,"""Brasil bate o CanadÃ¡ na Copa AmÃ©rica de Basquete",2009-09-02 13:03:00,,,0,,0,,0,,
cliqzbrnews,cliqzbrnews,https://twitter.com/cliqzbrnews/status/4537007416,"""Fora da seleÃ§Ã£o colombiana, RenterÃ­a reforÃ§a AtlÃ©tico-MG no BrasileirÃ£o http",2009-10-01 15:48:00,,,0,,0,,0,,
imoveissalvador,Carlos Baggi,https://twitter.com/Imoveissalvador/status/4555699169,"""Contundido, Juan Ã© cortado da seleÃ§Ã£o brasileira",2009-10-02 08:51:00,,,0,,0,,0,,
tecdesoft,Claudio Santos,https://twitter.com/TecDeSoft/status/6908681175,"""RT @TecDeSoft SeleÃ§Ã£o Brasileira ganha aplicativo para iPhone - TecDeSoft http",2009-12-21 15:12:00,,,0,TecDeSoft,1,,0,,
abelhudo_com,abelhudo.com,https://twitter.com/abelhudo_com/status/7675414396,"""SeleÃ§Ã£o Brasileira enfrenta a Alemanha em amistoso""",2010-01-12 09:07:00,,,0,,0,,0,,
abelhudo_com,abelhudo.com,https://twitter.com/abelhudo_com/status/8351460668,"""CBF confirma a casa da seleÃ§Ã£o brasileira durante a 1Âª fase da Copa do Mundo""",2010-01-28 19:15:00,,,0,,0,,0,,
abelhudo_com,abelhudo.com,https://twitter.com/abelhudo_com/status/8975583162,"""DemissÃ£o de tÃ©cnico da SeleÃ§Ã£o Brasileira de KaratÃª gera controvÃ©rsias""",2010-02-11 12:07:00,,,0,,0,,0,,
pgmsodavasco,Programa Só dá Vasco,https://twitter.com/pgmsodavasco/status/9900444836,"""SuperVasco",2010-03-02 16:56:00,,,0,,0,,0,,
cliqzbrnews,cliqzbrnews,https://twitter.com/cliqzbrnews/status/4784256354,"""Veja fotos do treino da seleÃ§Ã£o brasileira neste sÃ¡bado http",2009-10-11 06:57:00,,,0,,0,,0,,
revesbyseller,Revesby Seller,https://twitter.com/revesbyseller/status/6508682583,"""#photo",2009-12-09 13:10:00,,,0,,0,photo,1,,
japandaman71,ジャパンダマン ,https://twitter.com/Japandaman71/status/1277209446981070848,"""The biggest CBF’s about going to work tomorrow. Granted I’m working from home but still...🤮🤮🤮… """,2020-06-28 04:57:00,2,,0,,0,,0,,
cbf002,Carter,https://twitter.com/cbf002/status/1276997903899394048,"""Don’t forget @senatemajldr #MoscowMitchMcConnell is in on the #TRE45ON too… """,2020-06-27 14:56:00,1,1,0,senatemajldr,1,MoscowMitchMcCo | TRE45ON,2,,
cbf_ssb,C/B/F,https://twitter.com/CBF_ssb/status/1276766038634500096,"""Original i guess 🐦💙… """,2020-06-26 23:35:00,26,6,1,,0,,0,,
eshzfn,Eshz,https://twitter.com/Eshzfn/status/1276915840961507328,"""anyone have a val account that i can buy, cbf playing 20 unrated games to play comp lol""",2020-06-27 09:30:00,58,,4,,0,,0,,
cbfdn,The CBF,https://twitter.com/CBFdn/status/1277165020036706306,"""We understand that even with lockdown easements it is still difficult to find new activities your relative enjoys. If you would like some ideas please check out our activities sheet part 2",2020-06-28 02:00:00,4,4,0,,0,,0,,https://pbs.twimg.com/media/Eblm0ODXkAAzCmZ.jpg
tpacbfrsvspd3fj,ぱんち,https://twitter.com/tpACbfRsVSpD3Fj/status/1277069610819317760,"""UserName：chin100
PlayerID：AHUD47R2FK
 #VALKYRIEANATOMIA #ヴァルキリーアナトミア""",2020-06-27 19:41:00,,,0,,0,VALKYRIEANATOMI | ヴァルキリーアナトミア,2,,
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276851481157742594,"""Despite a global pandemic and internet gremlins we just attended a #cbfasembly that kinda sorta felt like all the others. Each year I’m amazed by the loads of stressful work the cbf staff does to allow us to gather, laugh, eat/drink, and snark.""",2020-06-27 05:14:00,45,1,1,,0,cbfasembly,1,,
cbfgrump,CBF Grump,https://twitter.com/CBFgrump/status/1276224218292772864,"""I was excited to sit in on this breakout conversation but we’re now 8 minutes in and still have only heard the white guy talk.  Not the best start.  #cbfassembly.   Update",2020-06-25 11:42:00,12,,3,,0,cbfassembly,1,,https://pbs.twimg.com/media/EbYPKN3WoAEdf9w.jpg
shauwchin,Shauw Chin Capps,https://twitter.com/ShauwChin/status/1276259986805383170,"""Just about now at #GeneralAssembly I would be planning to meet a group of peeps for dinner. I miss all my CBF peeps 😭❤️ #COVIDsucks""",2020-06-25 14:04:00,8,,0,,0,GeneralAssembly | COVIDsucks,2,,
,,https://twitter.com/egan_des/status/1275890556124557313,"""This US presidency is becoming more like a comedy skit every day. Only it's not funny anymore.… """,2020-06-24 13:36:00,6,1,0,,0,,0,,
